drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-8.57476e-10,0.468867,1,5.74921e+06,0.00346286,0.591824,45.2731,1.99074,9.69371e+06,0.277486,101334,373.267,1.0344e-09,393.684,38.3833,-0.43919,-5.15661e-16,7.91249,0.360253,-0.5,1038,2
-8.52825e-10,0.467984,1,5.77664e+06,0.00345737,0.591824,44.6895,1.9908,9.73114e+06,0.276964,101334,373.265,1.03436e-09,384.32,38.4504,-0.439632,2.50857e-17,8.00325,0.359962,-0.5,1039,2
-8.48519e-10,0.467264,1,5.80404e+06,0.00345192,0.591823,44.1328,1.99086,9.76637e+06,0.276538,101333,373.263,1.03432e-09,375.377,38.5187,-0.441252,2.82298e-16,8.09402,0.359671,-0.5,1040,2
-8.44529e-10,0.466714,1,5.83196e+06,0.0034464,0.591823,43.6004,1.99091,9.79976e+06,0.276212,101332,373.261,1.03428e-09,366.804,38.5875,-0.442874,2.47188e-17,8.18478,0.35938,-0.5,1041,2
-8.40697e-10,0.466333,1,5.85993e+06,0.00344091,0.591823,43.0896,1.99097,9.83222e+06,0.275986,101332,373.26,1.03425e-09,358.55,38.6561,-0.443997,2.46173e-17,8.27554,0.359088,-0.5,1042,2
-8.3691e-10,0.466112,1,5.88846e+06,0.00343534,0.591823,42.5975,1.99101,9.86472e+06,0.275856,101332,373.259,1.03422e-09,350.569,38.7239,-0.444099,-2.397e-16,8.3663,0.358797,-0.5,1043,2
-8.33023e-10,0.466042,1,5.91706e+06,0.0034298,0.591823,42.1214,1.99107,9.8981e+06,0.275815,101331,373.257,1.03418e-09,342.823,38.7904,-0.443436,3.2551e-17,8.45706,0.358506,-0.5,1044,2
-8.28965e-10,0.466106,1,5.94611e+06,0.00342421,0.591823,41.659,1.99112,9.93299e+06,0.275853,101331,373.255,1.03414e-09,335.288,38.8556,-0.442121,1.5695e-16,8.54782,0.358214,-0.5,1045,2
-8.24618e-10,0.466286,1,5.97519e+06,0.00341864,0.591824,41.2084,1.99118,9.96997e+06,0.275959,101330,373.254,1.03411e-09,327.945,38.9194,-0.439852,-1.15411e-16,8.63858,0.357923,-0.5,1046,2
-8.19888e-10,0.466558,1,6.00449e+06,0.00341307,0.591825,40.7681,1.99124,1.00098e+07,0.27612,101330,373.252,1.03406e-09,320.783,38.9818,-0.436661,2.88421e-16,8.72934,0.357632,-0.5,1047,2
-8.14647e-10,0.466913,1,6.03379e+06,0.00340754,0.591825,40.3366,1.9913,1.00532e+07,0.276331,101330,373.25,1.03402e-09,313.789,39.0429,-0.432348,9.91818e-17,8.8201,0.35734,-0.5,1048,2
