drdt,nut,M,N,r_het,rho,k,supersat,I,alphat,p,T,r_crit,epsilon,U:0,U:1,U:2,Points:0,Points:1,Points:2,Point ID,Block Number
-1.96203e-09,0.787039,1,3.07765e+06,0.00426504,0.591081,125.284,1.97407,3.17094e+06,0.465204,101340,373.753,1.04582e-09,1795.4,72.6401,-0.78493,-1.97645e-16,8.90692,0.427831,0.5,2249,2
-1.95193e-09,0.787377,1,3.08359e+06,0.00426229,0.59108,123.9,1.97421,3.19988e+06,0.465403,101339,373.748,1.04573e-09,1755.19,72.6933,-0.767416,-7.26831e-17,8.99801,0.427534,0.5,2250,2
-1.9419e-09,0.78768,1,3.08957e+06,0.00425954,0.591079,122.546,1.97434,3.22892e+06,0.465581,101338,373.744,1.04564e-09,1716.4,72.7462,-0.75129,1.24909e-16,9.0891,0.427237,0.5,2251,2
-1.93198e-09,0.787996,1,3.09564e+06,0.00425676,0.591079,121.219,1.97448,3.25797e+06,0.465767,101336,373.74,1.04554e-09,1678.76,72.7992,-0.736224,3.22229e-17,9.18019,0.42694,0.5,2252,2
-1.92201e-09,0.788252,1,3.10169e+06,0.00425398,0.591078,119.924,1.97461,3.28742e+06,0.465918,101336,373.736,1.04545e-09,1642.54,72.8518,-0.722498,-4.02833e-18,9.27128,0.426642,0.5,2253,2
-1.91203e-09,0.788535,1,3.10782e+06,0.00425118,0.591077,118.647,1.97474,3.31722e+06,0.466084,101334,373.731,1.04536e-09,1607.19,72.9054,-0.709957,2.8145e-17,9.36237,0.426345,0.5,2254,2
-1.9021e-09,0.788733,1,3.11388e+06,0.00424842,0.591076,117.41,1.97488,3.34705e+06,0.466201,101332,373.727,1.04527e-09,1573.43,72.9588,-0.698671,-4.01839e-18,9.45346,0.426048,0.5,2255,2
-1.8921e-09,0.788969,1,3.11998e+06,0.00424565,0.591076,116.175,1.97502,3.37741e+06,0.46634,101332,373.723,1.04517e-09,1540.07,73.0133,-0.687323,-4.01276e-18,9.54455,0.425751,0.5,2256,2
-1.88215e-09,0.789116,1,3.12598e+06,0.00424292,0.591075,114.998,1.97514,3.40777e+06,0.466427,101330,373.719,1.04509e-09,1508.73,73.0662,-0.67848,-4.00686e-18,9.63564,0.425453,0.5,2257,2
-1.87156e-09,0.789179,1,3.13203e+06,0.00424019,0.591075,113.782,1.97529,3.44038e+06,0.466464,101329,373.714,1.04498e-09,1476.9,73.1234,-0.669411,3.99986e-18,9.72673,0.425156,0.5,2258,2
-1.86184e-09,0.789708,1,3.13776e+06,0.00423761,0.591075,112.697,1.97542,3.47021e+06,0.466776,101328,373.71,1.04489e-09,1447.84,73.1768,-0.662614,-4.44443e-18,9.81782,0.424859,0.5,2259,2
-1.85012e-09,0.789478,1,3.14456e+06,0.00423455,0.591075,111.389,1.97557,3.50736e+06,0.466641,101326,373.705,1.04479e-09,1414.9,73.2419,-0.65379,-1.25405e-17,9.90891,0.424561,0.5,2260,2
-1.84265e-09,0.7889,1,3.1496e+06,0.00423229,0.591071,110.489,1.97567,3.52936e+06,0.466296,101325,373.702,1.04472e-09,1393.07,73.2868,-0.645259,-1.8525e-19,10,0.424264,0.5,2261,2
-2.07848e-09,0.298889,1,2.33529e+06,0.00467597,0.586548,282.524,1.96289,1.3592e+06,0.175298,100602,373.873,1.05431e-09,24216.1,54.2932,-0.436114,-2.60628e-16,0.944114,0.522223,0.5,2262,2
-2.09128e-09,0.332032,1,2.33497e+06,0.00467616,0.586567,298.548,1.96275,1.33412e+06,0.194744,100608,373.881,1.0544e-09,24342.2,53.8197,-1.1724,-7.46656e-16,1.03559,0.521948,0.5,2263,2
-2.10728e-09,0.365799,1,2.33442e+06,0.00467651,0.586625,314.153,1.96263,1.31611e+06,0.214573,100619,373.888,1.05447e-09,24461.4,53.4899,-1.94197,1.16418e-17,1.12706,0.521673,0.5,2264,2
-2.13121e-09,0.399379,1,2.3335e+06,0.0046771,0.58671,329.049,1.96245,1.29771e+06,0.234306,100636,373.899,1.05458e-09,24570.9,53.3303,-2.63919,1.41008e-16,1.21853,0.521398,0.5,2265,2
-2.15885e-09,0.43163,1,2.33289e+06,0.00467748,0.58682,342.395,1.96226,1.28141e+06,0.253277,100658,373.91,1.0547e-09,24601.5,53.3297,-3.31211,8.96864e-16,1.31001,0.521123,0.5,2266,2
-2.18873e-09,0.461732,1,2.33272e+06,0.00467756,0.586949,353.88,1.96208,1.26787e+06,0.271002,100685,373.924,1.05481e-09,24548.3,53.5246,-4.04911,8.66134e-16,1.40148,0.520847,0.5,2267,2
-2.22206e-09,0.489376,1,2.33359e+06,0.00467697,0.587103,363.522,1.9619,1.25608e+06,0.287302,100715,373.938,1.05491e-09,24423.7,53.8676,-4.6692,1.04655e-16,1.49296,0.520572,0.5,2268,2
-2.25866e-09,0.513574,1,2.33572e+06,0.00467553,0.587277,370.793,1.96171,1.24529e+06,0.301599,100748,373.953,1.05502e-09,24195.6,54.3178,-5.20092,-8.07047e-16,1.58443,0.520297,0.5,2269,2
-2.29726e-09,0.534375,1,2.33958e+06,0.00467295,0.587465,375.577,1.96153,1.23548e+06,0.313915,100784,373.968,1.05512e-09,23840.4,54.9072,-5.80345,-3.07108e-17,1.6759,0.520022,0.5,2270,2
-2.33791e-09,0.551902,1,2.34475e+06,0.00466951,0.58766,378.121,1.96134,1.22589e+06,0.324319,100822,373.984,1.05523e-09,23381.2,55.6459,-6.37313,7.83096e-16,1.76738,0.519746,0.5,2271,2
-2.37874e-09,0.566253,1,2.35198e+06,0.00466474,0.587863,378.635,1.96117,1.21871e+06,0.332868,100860,374,1.05532e-09,22837.1,56.4461,-6.87356,-7.07104e-16,1.85885,0.519471,0.5,2272,2
-2.41851e-09,0.577533,1,2.36062e+06,0.00465904,0.588081,376.97,1.96104,1.21618e+06,0.339625,100902,374.016,1.05538e-09,22182.6,57.304,-7.36351,2.54155e-17,1.95032,0.519196,0.5,2273,2
-2.45825e-09,0.585633,1,2.37131e+06,0.00465206,0.588308,373.212,1.96093,1.21597e+06,0.344521,100944,374.03,1.05542e-09,21433,58.219,-7.82244,7.28174e-16,2.0418,0.518921,0.5,2274,2
-2.4979e-09,0.590031,1,2.3839e+06,0.00464388,0.588538,367.299,1.96084,1.21723e+06,0.347243,100986,374.044,1.05545e-09,20597.6,59.1779,-8.23066,-6.86469e-16,2.13327,0.518645,0.5,2275,2
-2.53607e-09,0.590975,1,2.39891e+06,0.00463424,0.588768,359.4,1.96079,1.22173e+06,0.347934,101029,374.057,1.05546e-09,19684.2,60.1574,-8.5845,-6.82327e-16,2.22474,0.51837,0.5,2276,2
-2.5704e-09,0.58933,1,2.41568e+06,0.00462355,0.588997,350.046,1.96079,1.2315e+06,0.347099,101071,374.069,1.05542e-09,18721,61.1493,-8.88176,-1.02639e-17,2.31622,0.518095,0.5,2277,2
-2.60403e-09,0.585147,1,2.43568e+06,0.00461096,0.589223,339.38,1.96081,1.24308e+06,0.344767,101113,374.079,1.05537e-09,17720.6,62.1651,-9.13043,-7.06455e-16,2.40769,0.51782,0.5,2278,2
-2.63773e-09,0.57891,1,2.45797e+06,0.00459708,0.589443,327.69,1.96083,1.25439e+06,0.341219,101152,374.09,1.05533e-09,16697.2,63.1717,-9.31359,-5.27885e-17,2.49917,0.517544,0.5,2279,2
-2.67029e-09,0.571385,1,2.48167e+06,0.00458252,0.589654,315.463,1.96085,1.26612e+06,0.336903,101191,374.099,1.05528e-09,15677.8,64.1392,-9.42278,1.32251e-15,2.59064,0.517269,0.5,2280,2
-2.69977e-09,0.563025,1,2.50614e+06,0.00456763,0.589855,302.996,1.96091,1.28066e+06,0.332086,101228,374.107,1.05521e-09,14678.5,65.0543,-9.46858,6.5217e-16,2.68211,0.516994,0.5,2281,2
-2.72426e-09,0.554353,1,2.53044e+06,0.00455304,0.590045,290.61,1.96102,1.29955e+06,0.327075,101262,374.114,1.05511e-09,13715.8,65.9077,-9.44946,-6.60071e-16,2.77359,0.516719,0.5,2282,2
-2.74522e-09,0.545835,1,2.55455e+06,0.00453871,0.590224,278.59,1.96115,1.32014e+06,0.322146,101293,374.119,1.05499e-09,12803.7,66.6959,-9.36907,-1.29767e-15,2.86506,0.516443,0.5,2283,2
-2.76125e-09,0.537901,1,2.57784e+06,0.00452503,0.590388,267.181,1.96132,1.34422e+06,0.31755,101322,374.122,1.05485e-09,11952.9,67.4147,-9.23334,-6.39975e-16,2.95653,0.516168,0.5,2284,2
-2.77254e-09,0.530812,1,2.60055e+06,0.00451181,0.590538,256.53,1.96152,1.37114e+06,0.313444,101348,374.124,1.05468e-09,11168.8,68.0683,-9.05224,6.27875e-16,3.04801,0.515893,0.5,2285,2
-2.77969e-09,0.524807,1,2.62244e+06,0.00449921,0.590675,246.749,1.96175,1.39972e+06,0.30997,101372,374.124,1.0545e-09,10454.4,68.6599,-8.83181,-5.07297e-18,3.13948,0.515618,0.5,2286,2
-2.78165e-09,0.519962,1,2.64379e+06,0.00448704,0.590798,237.86,1.96202,1.43278e+06,0.307171,101393,374.122,1.05429e-09,9807.71,69.1957,-8.58246,-3.28688e-16,3.23095,0.515343,0.5,2287,2
-2.78047e-09,0.516307,1,2.66454e+06,0.00447533,0.590908,229.856,1.96231,1.46744e+06,0.305068,101411,374.119,1.05407e-09,9225.82,69.6831,-8.31156,1.55321e-15,3.32243,0.515067,0.5,2288,2
-2.77559e-09,0.513776,1,2.68486e+06,0.00446397,0.591006,222.68,1.96261,1.5045e+06,0.303623,101426,374.114,1.05384e-09,8703.12,70.1271,-8.0268,9.2617e-16,3.4139,0.514792,0.5,2289,2
-2.76707e-09,0.512257,1,2.70472e+06,0.00445298,0.591092,216.254,1.96295,1.54387e+06,0.302768,101440,374.108,1.05359e-09,8233.68,70.5363,-7.73534,-9.24441e-16,3.50537,0.514517,0.5,2290,2
-2.75573e-09,0.511642,1,2.72405e+06,0.00444237,0.591167,210.497,1.96329,1.5848e+06,0.302443,101450,374.102,1.05334e-09,7811.54,70.9131,-7.44051,2.99695e-16,3.59685,0.514242,0.5,2291,2
-2.7414e-09,0.511765,1,2.74283e+06,0.00443217,0.591232,205.308,1.96365,1.62789e+06,0.302549,101459,374.094,1.05307e-09,7429.95,71.2646,-7.1491,-3.08121e-16,3.68832,0.513966,0.5,2292,2
